ϕ,Z_sim,Z_OZ
0.01,1.04117,1.04101595737934
0.05,1.227512,1.2271380842003528
0.1,1.52271,1.518469045276319
0.15,1.906294,1.892574734378794
0.2,2.412301,2.3745936427077354
0.25,3.085858,2.999076651598936
0.3,3.993349,3.8143680471753907
0.35,5.234296,4.889502686955016
0.4,6.965791,6.3253882047822865
0.45,9.425235,8.273551587872303
0.46,9.98144,8.743314358804033
0.47,10.633421,9.244940673321
0.48,11.341657,9.78109206697878
0.49,12.111034,10.354686494959536
